0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.2,5.4,5.6,5.8,6,6.2,6.4,6.6,6.8,7,7.2,7.4,7.6,7.8,8,8.2,8.4,8.6,8.8,9,9.2,9.4,9.6,9.8,10,10.2,10.4,10.6,10.8,11,11.2,11.4,11.6,11.8,12,12.2,12.4,12.6,12.8,13,13.2,13.4,13.6,13.8,14,14.2,14.4,14.6,14.8,15,15.2,15.4,15.6,15.8,16
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99981,-0.99563,-0.97601,-0.92626,-0.83398,-0.69162,-0.49703,-0.25355,0.030088,0.34023,0.65965,0.9698,1.2535,1.497,1.6916,1.8339,1.9262,1.976,1.9956,1.9998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.9998,1.9956,1.976,1.9263,1.834,1.6916,1.497,1.2536,0.96991,0.65977,0.34035,0.030195,-0.25346,-0.49696,-0.69156,-0.83394,-0.92623,-0.97599,-0.99562,-0.99981,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99918,-0.98399,-0.92399,-0.79436,-0.58726,-0.3132,4.3541e-05,0.31328,0.58732,0.79441,0.92402,0.984,0.99918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99918,0.98399,0.92399,0.79436,0.58726,0.3132,-4.3541e-05,-0.31328,-0.58732,-0.79441,-0.92402,-0.984,-0.99918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
